Time(s) 10ms_Kbps 20ms_Kbps 30ms_Kbps 40ms_Kbps 50ms_Kbps 100ms_Kbps
274 301753.6 203070.9 130432.3 180364.2 73314.88 56745.41
275 282207.7 198662.7 116577.8 96612.53 103514.1 53822.36
276 334999.8 197407.7 138318.9 142115.3 126419.4 47689.88
277 257668 202165.9 165755.8 201784.2 129377.7 49523
278 280024.2 177052 98306.42 95083.73 129256.9 67107.04
279 292596.7 197404.2 140743.7 133349.9 111592.9 67949.71
280 402758.9 132058.6 159344.1 166580.5 89722.14 59772.33
281 278493.3 167797.3 136211.7 130967.1 103041.7 51252.74
282 253415.9 201861.3 92606.15 95695.06 149563.7 66891.06
283 267483.1 153569.9 133375.2 137068.9 74871.15 49778.68
284 252803.9 199612.5 132110.8 131953.9 115781.8 54846.65
285 403733.4 159377.2 157617.7 140003.7 117832.5 64705.53
286 321957.5 171615.7 129811.5 141369.7 127825.3 58401.35
287 292247 196389.1 125167.1 98476.14 118588.2 74069.83
288 284472.5 158073.3 124920.6 125284.1 74710.32 63045.35
289 311381.4 201213 123349.5 132098.2 144230.6 57172.92
290 364394.6 198195.3 163784.1 150831.1 89133.47 58157.36
291 274717.3 199292.2 131932.2 91917 145231 45512.93
292 331740.1 199307.4 109274.4 175146.4 126049.4 48168.26
293 343210.2 147623.9 133104.8 109829.6 97258.43 81412.56
294 250521.8 244725.5 192333.7 134762 95365.53 61531.08
295 270519.2 194109.4 111085.1 142727.3 118750.7 48011.23
296 391474.7 194987 137701.1 135580.3 129837.2 61257.29
297 312847.9 196862.1 147094 85683.06 129385.6 57486.31
298 293812.5 178988.9 130246 172085.8 95097.71 55594.8
299 470444.5 208164.5 118464.2 134203.1 112756.3 44465.04
300 121235.6 191684.2 56565.64 147773.5 129661.4 56555.31
