Time(s) 10ms_Kbps 20ms_Kbps 30ms_Kbps 40ms_Kbps 50ms_Kbps 100ms_Kbps
195 11950.59 4940.07 2509.23 2719.17 2175.63 1330.31
196 7994.54 5702.32 2036.94 2395.58 1991.11 1309.22
197 7716.59 4232.16 2602.81 2661.66 973.27 1294.84
198 10678.1 6209.98 3584.65 1957.97 1273.86 1317.75
199 6583.93 4800.82 3772.39 2151.17 1814.9 1458.16
200 7750.87 3067.65 2502.48 2174.87 2428.24 1190.82
201 14898.01 5018.91 3366.06 1989.38 2970.85 1456.76
202 7358.93 3807.19 2868.22 2695.97 3423.91 1180.53
203 7812.94 3670.51 3930.72 2393.51 2037.33 1387.12
204 7773.79 4359.95 3666.18 1827.52 2035.94 1284.41
205 7532.17 6118.1 2798.8 2002.25 1898.26 1225.89
206 12565.26 2722.34 3157.18 1146.17 1919.58 1503.06
207 5338.71 2351.32 2650.34 1861.09 1504.55 1214.97
208 5743.7 2836.53 1841.9 2570.21 1561.39 1342.84
209 7427.01 3642.93 2279.07 1611.03 2139.01 1237.08
210 5901.63 4521.1 2488.04 1551.97 2766.22 1157.13
211 6987.17 4197.89 1772.19 2071.55 2892.36 1237.5
212 8584.01 4431.97 1551.88 2844.88 1922.09 1294.87
213 10072.91 4602.11 2080.5 3332.76 1861.05 1421.98
214 7058.07 4955.84 2660.51 3411.28 1815.55 1330.65
215 5256.96 6176.57 4012.84 3261.33 1528.48 1386.99
216 4147.53 4131.02 2268.31 3654.23 1437.07 1285.33
217 6548.06 2315.51 1621.46 2291.35 1240.21 1146.66
218 5427.93 2510.8 1965.88 3144.8 891.61 799.13
219 10422.36 4163.28 2222.07 3803.12 1064.65 879.24
220 8262.44 5486.93 3838.87 2987.24 1459.41 1005.45
221 6525.88 4223.17 2742.74 3190.45 1549.8 1168.43
222 9554.46 2927.47 2916.38 3215.58 2011.69 1329.73
223 12203.37 3748.17 3041.21 3641.37 2382.22 1007.63
224 12099.19 4115.88 2314.09 2464.86 1804.75 568
225 8201.27 4881.24 1066.11 2108.53 2151.49 635.74
226 7817.04 2570.19 1218.11 1101 2151.93 786.22
227 7380.49 3505.78 1551.42 1192.93 1942.62 843.77
228 9022.61 4766.1 1676.69 1491.73 1446.33 798.87
229 8872.11 4466.07 3319.45 1458.41 1583.91 948.47
230 11924.38 3863.94 3399.6 1250.84 1563.35 752.82
231 7495.03 4532.47 2834.55 1411.66 1456.31 936.14
232 9042.16 3010.45 2892.53 1863.08 1583.7 810.82
233 10213.86 2835.42 2163.98 1653.45 1734.74 820.72
234 10203.56 1425.6 1735.72 1803.99 1561.81 787.82
235 6414.56 3008.23 2256.12 1850.24 2012.83 544.3
236 6815.33 3562.96 1864.14 2891.14 2220.62 463.17
237 7612.31 3172.4 2486.56 2732 2439.55 590.07
238 11127.45 4719.68 2174.45 2580.96 2785.98 567.94
239 5196.65 5398.45 2130.81 2475.19 2534.15 452.17
240 9428.62 5542.39 1561.91 2924.57 1597.09 393.67
241 6142.36 6510.44 1910.63 3849.69 1492.06 475.11
242 8735.32 3588.68 1297.24 3839.58 1342.28 543.92
243 7566.75 3263.61 1816.87 2962.52 1469.32 601.85
244 5624.84 3867.19 2820.77 2555.84 1318.85 590.6
245 7739.42 2697.7 3573.07 3597.83 1537.45 729.21
246 9032.32 4466.66 2732.62 2405.82 1989.46 602.41
247 8419.6 5551.52 1978.6 3098.57 2600.99 681.97
248 9361.49 4626.46 2071.08 2454.12 3167.5 601.94
249 7162.75 2512.15 3226.61 2498.22 3607.61 705.19
250 7291.96 3517.94 3134.58 2848.23 3227.11 751.38
251 12874.05 5192 2026.35 1400.88 3275.87 648.7
252 6571.96 5300.48 2533.28 1203.7 2221.26 820.75
253 7322.99 5414.59 4023.58 1654.59 1932.16 832.44
254 6223.86 7249.41 3239.71 2003.08 1653.22 924.88
255 7674.45 4743.89 2429.74 1401.36 1827.58 1109.93
256 11240.32 2998.72 2856.91 1525.6 1598.08 1087.67
257 7473.69 2858.45 3273.47 2289.2 1353.78 1248.51
258 7612.27 4326.08 2225.07 3018.28 1122.68 1306.67
259 5186.68 4986.69 2767.09 2394.01 1157.08 1031.29
260 7726.91 2859.51 3458.52 1262.69 1653.3 682.97
261 5823.36 2904.76 3159.82 1482.12 1943.85 808.74
262 9807.41 5045.26 3643.53 1943.69 2103.95 775.86
263 9267.21 4616.27 4624.82 2752.43 2601.06 820.77
264 8651.88 3364.62 5055.15 2234.51 3087.98 775.98
265 7161.26 3888.02 2743.32 2197.35 2258.48 659.32
266 9287.81 6174.42 1368.05 2081.3 1793.09 786.32
267 6689.27 4418.91 1391.69 2463.35 1735.38 901.94
268 9969.14 4074.6 1377.29 2374.04 2150.3 1017.18
269 12306.25 6993.91 1874.52 973.66 2739.85 730.91
270 6557.25 7967.91 3318.4 1851.85 2152.24 693.77
271 6328.55 5723.53 3492.02 2728.34 2080.86 612.57
272 12019.34 5089.4 2779.37 2788.22 2127.64 797.44
273 10045.72 4508.47 2719.12 2061.66 2323.76 740.52
274 7611.95 4267.93 3655.91 2117.69 1309.7 753.03
275 3394.54 3701.04 3781.48 1471.28 1202.81 648.11
276 8164.2 3355.64 4106.07 1505.11 1653.41 533.12
277 6309.71 3886.13 3311.68 2025.49 2291.25 624.41
278 7509.59 3664.96 1816.72 1978.68 2892.83 763.11
279 6284.74 5136.94 3041.67 1551.88 3468.12 798.48
280 9126.8 4267.46 3286.63 2244.12 2557.02 613.82
281 9847.04 6024.38 1945.23 2233.27 2393.16 636.32
282 8941.08 6927.19 1609.4 2277.34 2486.65 740.56
283 12592.85 4350.89 1446.34 3146.39 2498.59 694.75
284 12525.39 3747.51 1725.52 3100.39 2047.21 833.04
285 7101.37 3483.51 2706.36 3226.64 1931.37 718.06
